Instante de Tempo t,Fila de pedidos,Em produção,Prontos
51,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301","74826","98912,69376,14448,"
52,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601","74826","98912,69376,14448,"
53,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936","74826","98912,69376,14448,"
54,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936","74826","98912,69376,14448,"
55,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805","74826","98912,69376,14448,"
56,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090","74826","98912,69376,14448,"
57,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124","74826","98912,69376,14448,"
58,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124","74826","98912,69376,14448,"
59,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276","74826","98912,69376,14448,"
60,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276","74826","98912,69376,14448,"
61,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276","74826","98912,69376,14448,"
62,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114","74826","98912,69376,14448,"
63,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114","74826","98912,69376,14448,"
64,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224","74826","98912,69376,14448,"
65,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499","74826","98912,69376,14448,"
66,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914","74826","98912,69376,14448,"
67,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914","74826","98912,69376,14448,"
68,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914","74826","98912,69376,14448,"
69,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534","74826","98912,69376,14448,"
70,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534","74826","98912,69376,14448,"
71,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534, 46051","74826","98912,69376,14448,"
72,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534, 46051, 47448","74826","98912,69376,14448,"
73,"47299, 13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534, 46051, 47448, 94483, 85371, 55046","74826","98912,69376,14448,74826,"
74,"13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534, 46051, 47448, 94483, 85371, 55046","47299","98912,69376,14448,74826,"
75,"13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534, 46051, 47448, 94483, 85371, 55046","47299","98912,69376,14448,74826,"
76,"13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534, 46051, 47448, 94483, 85371, 55046","47299","98912,69376,14448,74826,"
77,"13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534, 46051, 47448, 94483, 85371, 55046, 86434","47299","98912,69376,14448,74826,"
78,"13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534, 46051, 47448, 94483, 85371, 55046, 86434, 68143","47299","98912,69376,14448,74826,"
79,"13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534, 46051, 47448, 94483, 85371, 55046, 86434, 68143","47299","98912,69376,14448,74826,"
80,"13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534, 46051, 47448, 94483, 85371, 55046, 86434, 68143","47299","98912,69376,14448,74826,"
81,"13561, 11269, 78154, 63405, 54339, 28789, 96381, 32970, 51545, 52875, 12028, 63054, 51064, 50733, 90108, 18741, 91174, 49542, 37555, 79528, 95675, 49221, 31234, 70998, 79005, 62968, 34554, 44477, 32002, 37201, 87221, 12211, 48265, 14923, 20667, 93624, 94270, 70717, 47848, 26273, 40808, 25375, 44902, 33426, 79315, 59341, 50389, 31301, 74017, 80513, 20703, 84601, 25037, 33936, 65040, 65805, 52090, 70124, 21670, 52276, 44114, 83066, 71224, 74499, 56914, 54667, 96534, 46051, 47448, 94483, 85371, 55046, 86434, 68143, 71624","47299","98912,69376,14448,74826,"
